filename,caption
1180.jpg,a woman in a hospital bed with a man in the background
902.jpg,a man in a uniform and glasses standing in the grass
170.jpg,a green and white building with a clock on top
387.jpg,a woman in a kimono
1465.jpg,a train with people on it and a man standing next to it
564.jpg,a man in a white suit standing in the woods
1662.jpg,a man drinking water from a tap
1317.jpg,a girl with a yellow shirt and a green background
1282.jpg,a man in a green uniform is driving a bus
196.jpg,a man is standing in front of a barn
1614.jpg,a man with a cigarette in his hand looking up
842.jpg,a man in a suit and tie is holding the wheel of a plane
216.jpg,a large white airplane with a black tail
1831.jpg,a group of people sitting around a table
34.jpg,a man in a blue shirt and a ladder
445.jpg,a man in a suit and hat standing in a field
538.jpg,a woman in a dress and a man in a suit
1756.jpg,a car is parked on the side of a train
1273.jpg,a man in a suit
1587.jpg,a girl with a white hat within a crowd
1622.jpg,a young boy with glasses and a tie
232.jpg,a man in a suit and tie standing on a staircase
625.jpg,a group of people standing around a bar
100.jpg,a boy in glasses and a scarf stands in front of a brick wall
198.jpg,three men in suits standing in a factory
1137.jpg,a bus with a man driving down the road
208.jpg,a man holding a sign in front of a building
1697.jpg,a couple hugging in the back of a car
10.jpg,a man in a white shirt and black pants
957.jpg,a man in a suit and tie standing next to a woman in a suit
973.jpg,two serious looking men
675.jpg,a boy with glasses and a shirt sitting at a table
427.jpg,a small plane floating in the water
928.jpg,a man is writing on a piece of paper
1497.jpg,a woman in a kimono
573.jpg,a scene of a village with a horse drawn in the fore
1218.jpg,a man with glasses and a book in his hand
1430.jpg,a man in a blue shirt and glasses stands in front of a crowd
1188.jpg,a man and woman standing on top of a mountain
1741.jpg,a man and woman standing in front of a building
975.jpg,a man in a suit and tie with a green curtain behind him
295.jpg,a man in a suit and tie is standing in the grass
500.jpg,a green field with pink flowers and grass
169.jpg,a small plane with people standing around it
736.jpg,a girl looks out from a window at the sky
976.jpg,a man in a suit and tie standing in front of a green wall
14.jpg,a group of people standing in front of a building
151.jpg,a large group of people walking down a dirt road
344.jpg,a small plane flying through the sky
1720.jpg,a house with a balcony and a balcony
873.jpg,a man and woman stand in front of a plane
858.jpg,a car with a black roof and a brown roof
1312.jpg,a man playing a guitar in a room
1185.jpg,a group of cats sleeping on a bed
419.jpg,a ship caption stands between three people
487.jpg,a man in a field with a kite
1774.jpg,a train with a man standing on the side of it
530.jpg,a robot laying on the ground with a gun
871.jpg,a girl and a boy looking at a book
1758.jpg,two people in a field with a dog
1276.jpg,a young boy with glasses and a hat looking up at the sky
195.jpg,a man in a hat and glasses with a hat on
1594.jpg,a boy in a cap standing next to a woman in a kimono
120.jpg,a man in a suit and hat looking at another man in a suit
1167.jpg,a group of people sitting around a table
930.jpg,a girl with a pink hat and a green shirt
921.jpg,a man in a suit is throwing papers
75.jpg,a small plane flying over a lush green field
732.jpg,a bird house with a red roof and a red roof
1431.jpg,a group of people riding on a train
750.jpg,a boy and a girl looking at each other boy
51.jpg,a man in a suit and hat standing in front of a building
1780.jpg,a group of people walking through a field
1841.jpg,a group of people sitting around a table
313.jpg,a man in a suit is driving a tractor
888.jpg,a man in a suit and hat with a mustache
978.jpg,a group of people with glasses and a man in a white shirt
599.jpg,a man and woman holding umbrellas in the rain
1673.jpg,a man in a green shirt is standing in front of a building
129.jpg,a train with a man standing on the tracks
1663.jpg,a boat with a sail and a man in the water
616.jpg,a man and woman in a kitchen with a clock
1348.jpg,a man in a horse drawn carriage
1776.jpg,a boy looking out the window of a train car
748.jpg,a wooden fence with a sky background
460.jpg,a bridge with a train on it
192.jpg,a car with a large wheel on the front
1658.jpg,a boy with glasses and a gun in the background
104.jpg,a red heart is on the wing of a plane
1095.jpg,a person writing on a piece of paper
84.jpg,two men wearing hats and suits and glasses
240.jpg,a small plane with a propeller on it
150.jpg,a man sitting at a table with a book and a cup
397.jpg,a plane flying over a body of water
964.jpg,a man in a suit and tie standing in front of a table
1782.jpg,a train with a man standing on the side of it
1158.jpg,a woman kneeling on the floor with her head down
1104.jpg,a man in a suit and tie with glasses
1800.jpg,a woman is getting her hair done by a man
92.jpg,a boy in a blue hoodie looking at a boat
310.jpg,a crowd of people in a train car
11.jpg,two people standing in front of a building
566.jpg,a boy in a hat and glasses stands in front of a tree
1205.jpg,a man flying over a city with a plane in the sky
